Publication	taxa	pct of publications	pct of taxa
Icon. Lich. Univ. ser.	1	77.75%	97.89%
Icon. Malay. Fung.	1	77.77%	97.89%
Icon. Orchid. Eur.	1	77.78%	97.89%
Icon. Pl. Crit.	1	77.80%	97.89%
Icon. Pl. Fl. Irreg. Hexapet. t.	1	77.82%	97.89%
Icon. Pl. Medic.	1	77.83%	97.89%
Icon. Pl. Syriae Dec.	1	77.85%	97.90%
Icon. ser.	1	77.86%	97.90%
Iconogr. Champ.	1	77.88%	97.90%
Iconogr. Fam. t.	1	77.90%	97.90%
Iconogr. Fl. Jap.	1	77.91%	97.90%
Iconogr. Fl. Sin.	1	77.93%	97.90%
Iconogr. Orchid. Eur.	1	77.95%	97.90%
Iconogr. Zoophytol.	1	77.96%	97.91%
Ill. Austral. Pl. Captain Cook's Voyage	1	77.98%	97.91%
Ill. Fl. Archipel. Indien	1	77.99%	97.91%
Ill. Fl. Atlanticae	1	78.01%	97.91%
Ill. Fl. Hispan. Insul. Balear.	1	78.03%	97.91%
Ill. Fl. Japan t.	1	78.04%	97.91%
Ill. Phan. Tunis t.	1	78.06%	97.92%
Ill. Pl. Orient. t.	1	78.07%	97.92%
Illinois State Mus. Sci. Papers	1	78.09%	97.92%
In [Biology of coral reefs. Associations in Australian near-shore waters.] Academy of Sciences of the USSR, Far-eastern Scientific.	1	78.11%	97.92%
Ind. Sem. Hort. Bot. Almaat. Acad. Sci. URSS	1	78.12%	97.92%
Ind. Sem. Hort. Bot. Berol.	1	78.14%	97.92%
Ind. Sem. Hort. Ratisb. [3].	1	78.16%	97.92%
Ind. Sem. Hortus Bot. Petrop.	1	78.17%	97.93%
Index Filicum LIII.	1	78.19%	97.93%
Index Filicum XCV.	1	78.20%	97.93%
Index Filicum XXIX.	1	78.22%	97.93%
Index Filicum XXIX. t.	1	78.24%	97.93%
Index Filicum XXXII.	1	78.25%	97.93%
Index Gen. Phan. x.	1	78.27%	97.94%
Index Gen. Sp. Diat.	1	78.29%	97.94%
Index Lect. Lyceo Braunsbergiensis	1	78.30%	97.94%
Index Pl. Horto Canal ?.	1	78.32%	97.94%
Index Sem. Hort. Arautapae (Tenerife)	1	78.33%	97.94%
Index Sem. Hort. Bot. Neap.	1	78.35%	97.94%
Index Sem. Hort. Genuensis	1	78.37%	97.94%
Index Sem. Hort. Hamb.	1	78.38%	97.95%
Index Sem. Hort. Neapol. App.	1	78.40%	97.95%
Index Sem. Hort. Petrop.	1	78.42%	97.95%
Index Sem. Horti Bot. Almaatensis Acad. Sci.	1	78.43%	97.95%
Index Sem. Horti Burdigala	1	78.45%	97.95%
Index Sem. Horti Monsp.	1	78.46%	97.95%
Index Sem. Horto Berol. Add.	1	78.48%	97.96%
Index Sem. Horto Bot. Francofurt. [4].	1	78.50%	97.96%
Index Sem. Horto Bot. Hamburg.	1	78.51%	97.96%
Index Sem. Horto Bot. Neapol.	1	78.53%	97.96%
Index Sem. Hortus Petrop.	1	78.54%	97.96%
Index Seminum Horto Bot. Neapol.	1	78.56%	97.96%
India J. Bot.	1	78.58%	97.96%
Indian J. Agric. Sci.	1	78.59%	97.97%
Indian J. Fish.	1	78.61%	97.97%
Indian J. Mycol. Pl. Pathol.	1	78.63%	97.97%
Indig. Trees	1	78.64%	97.97%
Inst. Nac. Pesq. Amazônia Bot. Publ.	1	78.66%	97.97%
Int. J. Syst. Evol. Microbiol.	1	78.67%	97.97%
Interpr. Herb. Amb.	1	78.69%	97.98%
Intr. Obs. Phys. Hist. Nat.	1	78.71%	97.98%
Introd. Nat. Syst.	1	78.72%	97.98%
Introd. Nat. Syst. ed.	1	78.74%	97.98%
Introd. Stud. Fossil Pl.	1	78.76%	97.98%
Ionios Antologia	1	78.77%	97.98%
Iranian J. Pl. Path.	1	78.79%	97.98%
Irid. Gen.	1	78.80%	97.99%
Irmischia	1	78.82%	97.99%
Isis	1	78.84%	97.99%
Iskop. Fl. Stratigr.	1	78.85%	97.99%
Iskopaemye Fl. Arktiki	1	78.87%	97.99%
It. Arab. Pl. Exsicc. in Sched. ad nr.	1	78.89%	97.99%
Izv. Akad. Nauk Estonsk. SSR	1	78.90%	98.00%
Izv. Akad. Nauk Kazakhsk. SSR, Ser. Biol.	1	78.92%	98.00%
Izv. Akad. Nauk Kirgizsk. SSR	1	78.93%	98.00%
Izv. Akad. Nauk SSSR, Otd. Mat. Nauk, Ser. Geol.	1	78.95%	98.00%
Izv. Akad. Nauk SSSR, Ser. Biol.	1	78.97%	98.00%
Izv. Assoc. Naucno-Issl. Inst. Fiz.-Mat. Fak. Perv. Moskovsk. Gosud. Univ.	1	78.98%	98.00%
Izv. Glavn. Bot. Sada RSFSR	1	79.00%	98.00%
Izv. Kavakzsk. Muz.	1	79.01%	98.01%
Izv. Kavkazsk. Muz.	1	79.03%	98.01%
Izv. Sapropel. Komiteta	1	79.05%	98.01%
Izv. Tomsk. Otd. Gosud. Russk. Bot. Obsc.	1	79.06%	98.01%
Izv. Tomsk. Politehn. Inst.	1	79.08%	98.01%
J. Agric. Chem. Soc. Japan	1	79.10%	98.01%
J. Anat. Physiol. Paris	1	79.11%	98.02%
J. Asiat. Soc. Straits	1	79.13%	98.02%
J. Bot. Kew Misc.	1	79.14%	98.02%
J. Brasilien	1	79.16%	98.02%
J. C. Röhlings Deutschlands Fl.	1	79.18%	98.02%
J. Cact. Succ. Soc. Amer.	1	79.19%	98.02%
J. Coffee Res.	1	79.21%	98.02%
J. Coll. Agric. Imp. Univ. Tokyo	1	79.23%	98.03%
J. Dai Nippon Forestry Soc.	1	79.24%	98.03%
J. Dept. Agric. Puerto Rico	1	79.26%	98.03%
J. Econ. Biol.	1	79.27%	98.03%
J. Exp. Med.	1	79.29%	98.03%
J. Fac. Sci. Imp. Univ. Tokyo, Sect.	1	79.31%	98.03%
J. Ferment. Technol.	1	79.32%	98.04%
J. Gen. Microbiol.	1	79.34%	98.04%
J. Geobot.	1	79.36%	98.04%
J. Geogr. (Tokyo)	1	79.37%	98.04%
J. Geol.	1	79.39%	98.04%
J. Geol. Soc. Dublin	1	79.40%	98.04%
J. Geol. Soc. Tokyo	1	79.42%	98.04%
J. Indian Bot. Soc., Iyengar Commem. Vol.	1	79.44%	98.05%
J. Madras Univ.	1	79.45%	98.05%
J. Madras Univ. B	1	79.47%	98.05%
J. Madras Univ. ser. B.	1	79.48%	98.05%
J. Microscop. Soc. Victoria ser.	1	79.50%	98.05%
J. Morphol.	1	79.52%	98.05%
J. Mysore Univ.	1	79.53%	98.06%
J. Nanjing Technol. Coll. Forest Prod.	1	79.55%	98.06%
J. Navigation Globe Thétis Espérance	1	79.57%	98.06%
J. Oceanogr. Works China	1	79.58%	98.06%
J. Quekett Microscop. Club	1	79.60%	98.06%
J. Roy. Agric. Soc. England ser.	1	79.61%	98.06%
J. Roy. Soc. New Zealand	1	79.63%	98.06%
J. Scavans (Paris, qu.)	1	79.65%	98.07%
J. Sichuan Chin. Med. School	1	79.66%	98.07%
J. Singapore Nat. Acad. Sci.	1	79.68%	98.07%
J. Tokyo Agric. Coll.	1	79.70%	98.07%
J. W. China Border Res. Soc. ser. B.	1	79.71%	98.07%
Jaarverslag Geol. Bur. Ned. Mijngeb. Heerlen	1	79.73%	98.07%
Jahrb. Deutsch. Kakteen-Ges.	1	79.74%	98.08%
Jahrb. Hamburg. Wiss. Anst. Beih.	1	79.76%	98.08%
Jahrb. K. K. Geol. Reichsanst.	1	79.78%	98.08%
Jahrb. K. K. Geol. Reichsanst. (Wien)	1	79.79%	98.08%
Jahrb. Königl. Preuss. Geol. Landesanst.	1	79.81%	98.08%
Jahrb. Reichsstelle Bodenf.	1	79.82%	98.08%
Jahrb. Univ. Sofia	1	79.84%	98.08%
Jahrb. Vereins Naturk. Herzogth. Nassau (Enum. Fungorum Nassoviae)	1	79.86%	98.09%
Jahrb. Wiss. Krit.	1	79.87%	98.09%
Jahresber. Kommiss. Wiss. Untersuch. Deutsch. Meere Kiel	1	79.89%	98.09%
Jahresber. Naturwiss. Vereins Elberfeld	1	79.91%	98.09%
Jahresber. Westfäl. Prov. Vereins	1	79.92%	98.09%
Jahresber. Westfäl. Prov.-Vereins Wiss.	1	79.94%	98.09%
Jahresh. Vereins Vaterl. Naturk. Württemberg	1	79.95%	98.10%
Jap. J. Geol. Geogr., Trans.	1	79.97%	98.10%
Jard. St. Sébast.	1	79.99%	98.10%
Jelgavas Lauksaimniec. Akad. Raksti	1	80.00%	98.10%
Jetzt Lebende Thierart. Kreidebild.	1	80.02%	98.10%
Jorn. Sci. Math. Fys. Nat. Lisboa	1	80.04%	98.10%
Journ. Agric. Trop.	1	80.05%	98.10%
Journ. Agric. Trop. Bot. Appl.	1	80.07%	98.11%
Jubilee Retail Price List (Gates Cactus Inc.) back cover.	1	80.08%	98.11%
Justus Liebigs Ann. Chem.	1	80.10%	98.11%
K. Danske Vid. Selsk. Biol. Medd.	1	80.12%	98.11%
K. Ned. Akad. Wet. Proc. C.	1	80.13%	98.11%
Kaiso No Hassei	1	80.15%	98.11%
Kaktusár	1	80.17%	98.12%
Kamptzia	1	80.18%	98.12%
Kavkazsk. Predstaviteli Podtriby Scorzonerinae	1	80.20%	98.12%
Kenntn. Conio. Crypto.	1	80.21%	98.12%
Kew Mycol. Pap.	1	80.23%	98.12%
Key to Fungi, Perfectifungi, I. Phycomycetes	1	80.25%	98.12%
Khumbu Himal, Ergebn. Forsch.-Unternehmen Nepal Himalaya	1	80.26%	98.12%
Kieler Meeresf.	1	80.28%	98.13%
Klagenfurter Zeitung,	1	80.29%	98.13%
Kleine Kryptogamenfl. Mitteleur. ed.	1	80.31%	98.13%
Komarovskie Chteniya (Valdivostok)	1	80.33%	98.13%
Kon. Akad. Wetensch Amsterdam, Proc. Sect. Sci.	1	80.34%	98.13%
Kon. Danske Vid. Selsk. Biol. Medd.	1	80.36%	98.13%
Kon. Ned. Akad, Wetensch., Afd. Natuurk., Tweede Sect.	1	80.38%	98.14%
Kongel. Danske Vidensk. Naturvidensk. Math. Afd. ser.	1	80.39%	98.14%
Kongel. Norske Vidensk. Selsk. Forh.	1	80.41%	98.14%
Kongel. Norske Vidensk. Skr.	1	80.42%	98.14%
Koninkl. Nederl. Akad. Wetenschappen, Proc. Ser. C.	1	80.44%	98.14%
Korean J. Phycol.	1	80.46%	98.14%
Koshurei Ag. Exper. Station of S. Manchurian Railway Co. Report	1	80.47%	98.14%
Kosmos (Kaunas)	1	80.49%	98.15%
Krankh. Pfl.	1	80.51%	98.15%
Kratkii Ogerk Sporovych Rastenii	1	80.52%	98.15%
Kreidebildungen Texas	1	80.54%	98.15%
Krypt. Forsch.	1	80.55%	98.15%
Krypt. Gew.	1	80.57%	98.15%
Krypt.-Fl. Brandenburg	1	80.59%	98.16%
Krypt.-Fl. Sachsen	1	80.60%	98.16%
Kryptogamenfl. Sachsen	1	80.62%	98.16%
Kvet. Ok. Prazs.	1	80.64%	98.16%
L'Ile Cuba (Plantes Cellulaires)	1	80.65%	98.16%
La Famiglia delle Tricholomataceae	1	80.67%	98.16%
La Vie Orch.	1	80.68%	98.16%
Labiées Alpes Marit.	1	80.70%	98.17%
Lachesis Lappon.	1	80.72%	98.17%
Ladies' Flower-Gard. Ornam. Bulbous Pl.	1	80.73%	98.17%
Lange-Bertalot Festschrift:	1	80.75%	98.17%
Laurac. Chine et Indochine	1	80.76%	98.17%
Lecideaceae Exsiccatae Fasc. V (no.	1	80.78%	98.17%
Legum. Trop. Africa	1	80.80%	98.18%
Leitfaden Königl. Sächs. Naturhist. Mus.	1	80.81%	98.18%
Leitpflanzen Rothliegenden Zechsteingebirges Sachsen	1	80.83%	98.18%
Lejeunia	1	80.85%	98.18%
Lejeunia Mém.	1	80.86%	98.18%
Leopoldina	1	80.88%	98.18%
Lepisia [1].	1	80.89%	98.18%
Les Orchidées	1	80.91%	98.19%
Liberia	1	80.93%	98.19%
Lich. Environs Paris Suppl.	1	80.94%	98.19%
Lich. Europ. Exsicc.	1	80.96%	98.19%
Lich. Fl. Gr. Britain ed.	1	80.98%	98.19%
Lich. Foliic. Leg. Beccari	1	80.99%	98.19%
Lich. Neotrop. Fasc. IX:	1	81.01%	98.20%
Lich. Pyrenaeorum Orient. Obs. Nov.	1	81.02%	98.20%
Lich. Scand. Exs. fasc.	1	81.04%	98.20%
Lichen Fl. Antarctic Continent	1	81.06%	98.20%
Lichenes Neotropici	1	81.07%	98.20%
Lichenogr. Scand.	1	81.09%	98.20%
Lichens Central Asia	1	81.11%	98.20%
Lichens W. N. Coast Spitsbergen	1	81.12%	98.21%
Liliac.	1	81.14%	98.21%
Liliac. ad t.	1	81.15%	98.21%
Lindenia	1	81.17%	98.21%
Lindleyana	1	81.19%	98.21%
Linn. Samfund. Handl.	1	81.20%	98.21%
Linzer Zeitung	1	81.22%	98.22%
List Malayan Orchid Hybrids	1	81.23%	98.22%
Liten Profbit Namnförbistring	1	81.25%	98.22%
Litol. Porodoobr. Org. (Kokkolit.) Verkhnemel. Otlozh. Vost. Ukrainy	1	81.27%	98.22%
Liv. Jub. Soc. Géol. Belg.	1	81.28%	98.22%
London Cat. Brit. Pl. ed.	1	81.30%	98.22%
Loudon's Encycl. Pl. ed.	1	81.32%	98.22%
Lower Carbonif. Microfl. Spitsbergen	1	81.33%	98.23%
Lundellia	1	81.35%	98.23%
Luther Burbank, Meth. Disc. Pract. Appl.	1	81.36%	98.23%
Maboké	1	81.38%	98.23%
Mabres Calcaire Carbon. Bas-Boulonnais	1	81.40%	98.23%
Madräno	1	81.41%	98.23%
Mag. Ges. Naturf. Freunde	1	81.43%	98.24%
Mag. Tosc.	1	81.45%	98.24%
Magyar Kir. Állami Földt. Intéz. Évi Jel.	1	81.46%	98.24%
Magyar Növenyt. Lapok	1	81.48%	98.24%
Magyar Tud. Akad. Ôrtes.	1	81.49%	98.24%
Mahar. Vidn. Mandir Patr. (Poona)	1	81.51%	98.24%
Makinoa	1	81.53%	98.24%
Maladies Chevelu; II Les Maladies Desquamatives ?.	1	81.54%	98.25%
Malattia Limoni	1	81.56%	98.25%
Malv.	1	81.58%	98.25%
Man. Bot.	1	81.59%	98.25%
Man. Brit. Discom.	1	81.61%	98.25%
Man. Brit. Mar. Alg. ed.	1	81.62%	98.25%
Man. Ess. For. Congo Belge	1	81.64%	98.26%
Man. Gen. Fl.	1	81.66%	98.26%
Man. Herb. Suisse	1	81.67%	98.26%
Man. Pests Dis.	1	81.69%	98.26%
Man. Trop. Med.	1	81.70%	98.26%
Manipulus Musc. Prim.	1	81.72%	98.26%
Manual Bot. N. U.S. ed.	1	81.74%	98.26%
Manual Bot. San Francisco Bay	1	81.75%	98.27%
Manual Brit. Mar. Algae	1	81.77%	98.27%
Manual Flow. Pl. California	1	81.79%	98.27%
Manual New Zealand Fl.	1	81.80%	98.27%
Manual New Zealand Fl. ed.	1	81.82%	98.27%
Manuale Bot.	1	81.83%	98.27%
Mar. Benth. Alg. Lord Howe Island	1	81.85%	98.28%
Maryland Geol. Surv. Prof. Paper	1	81.87%	98.28%
Mat. Fl. Mal. Penins.	1	81.88%	98.28%
Mat. Geol. Turkestan	1	81.90%	98.28%
Mat. Mikol. Obsledov. Rossii	1	81.92%	98.28%
Mater. Fl. Malay. Penins.	1	81.93%	98.28%
Mater. Geol. Centr. Kazahstana	1	81.95%	98.28%
Mater. Geol. Polezn. Iskop. Zapadn. Sibiri	1	81.96%	98.29%
Mater. Geol. Polezn. Zapadn. Sibiri	1	81.98%	98.29%
Mater. Geol. Poleznym Iskop. Severo-Vostoka SSSR	1	82.00%	98.29%
Mater. Geol. Ross.	1	82.01%	98.29%
Mater. Geol. Turkestan	1	82.03%	98.29%
Mater. Myc. Phyt.	1	82.05%	98.29%
Mater. Obscej Prikl. Geol.	1	82.06%	98.30%
Mathem. Termeszettud. Közlem.	1	82.08%	98.30%
Mauritania	1	82.09%	98.30%
Med. Bot. Mus. Herb. Rijks. Univ. Utrecht	1	82.11%	98.30%
Med. Bot. Mus. Utrecht	1	82.13%	98.30%
Med. Pl.	1	82.14%	98.30%
Meddel. Plantepatol. Afd. Kongel. Veterin. Landbohojskole (Københaven)	1	82.16%	98.31%
Meded. Dept. Landb. Suriname	1	82.17%	98.31%
Meded. Landbouwhogeschool	1	82.19%	98.31%
Meded. Ned. Inst. Toegepaste Geowetensch. TNO	1	82.21%	98.31%
Meded. Phytopathol. Lab. 'Willie Commelin Scholten'	1	82.22%	98.31%
Meded. Proefstat. Oost-Java ser.	1	82.24%	98.31%
Mélanges Biol. Bull. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg	1	82.26%	98.31%
Mélanges Bot.	1	82.27%	98.32%
Mélobésiées, Deux. Expéd. Antarct. Franç.	1	82.29%	98.32%
Mem Reale Ist. Lombardo ser.	1	82.30%	98.32%
Mém. Acad. Imp. Sci. Turin, Sci. Phys.	1	82.32%	98.32%
Mém. Acad. R. Belgique	1	82.34%	98.32%
Mém. Acad. R. Belgique Cl. Sc.	1	82.35%	98.32%
Mém. Acad. Roy. Belgique	1	82.37%	98.33%
Mem. Acad. Soc. Med. Sevilla	1	82.39%	98.33%
Mém. Acad. Stanislas ser.	1	82.40%	98.33%
Mém. Acad. Turin Sc. Phys.-Math. [7]:	1	82.42%	98.33%
Mem. Accad. Agric. Verona	1	82.43%	98.33%
Mem. Accad. Agric. Verona ser.	1	82.45%	98.33%
Mém. Agric. Soc. Agric. Dép. Seine	1	82.47%	98.33%
Mem. Assoc. Australas. Palaeontol.	1	82.48%	98.34%
Mém. Cact.	1	82.50%	98.34%
Mem. Calif. Acad. Sci.	1	82.51%	98.34%
Mem. Canada Dept. Mines Geol. Surv.	1	82.53%	98.34%
Mem. Coll. Sci. Kyoto Imp. Univ. Ser. B,	1	82.55%	98.34%
Mem. Coll. Sci. Kyoto Imp. Univ. Ser. B, Biol.	1	82.56%	98.34%
Mém. Comité Géol. Russie	1	82.58%	98.35%
Mém. Couronnés Autres Mém. Acad. Roy. Sci. Belgique	1	82.60%	98.35%
Mem. Dept. Agric India, Bot. Ser.	1	82.61%	98.35%
Mem. Fac. Agric. Kagoshima Univ.	1	82.63%	98.35%
Mem. Fac. Fish. Kagoshima Univ.	1	82.64%	98.35%
Mem. Fac. Sci. Agric. Taihoku Imp. Univ.	1	82.66%	98.35%
Mem. Fac. Sci. Kyushu Univ.	1	82.68%	98.35%
Mem. Fac. Sci. Shimane Univ.	1	82.69%	98.36%
Mém. Fam. Violacées [28].	1	82.71%	98.36%
Mem. Geol. Surv. Gr. Brit.	1	82.73%	98.36%
Mem. Geol. Surv. Gr. Brit., Explan. Sheet	1	82.74%	98.36%
Mem. Geol. Surv. Summ. Progr. U.K.	1	82.76%	98.36%
Mem. Geopaleontol. Univ. Ferrara	1	82.77%	98.36%
Mem. Gt. Brit. Geol. Surv.	1	82.79%	98.37%
Mém. Inst. Roy. Colon. Belge, Sect. Sci. Nat. (8)	1	82.81%	98.37%
Mém. Légum.	1	82.82%	98.37%
Mem. Lit. Soc. Manchester ser.	1	82.84%	98.37%
Mem. Mat. Fis. Soc. Ital.	1	82.86%	98.37%
Mém. Minéral. Dauphiné	1	82.87%	98.37%
Mem. Mus. Comp. Zool. Harvard Coll.	1	82.89%	98.37%
Mém. Mus. Hist. Nat. ser.	1	82.90%	98.38%
Mém. Mus. Hist. Nat. Strasbourg	1	82.92%	98.38%
Mem. Natl. Mus.	1	82.94%	98.38%
Mem. R. Ist. Veneto	1	82.95%	98.38%
Mem. Reale Accad. Naz. Lincei, Cl. Sci. Fis. Mat. Nat. ser.	1	82.97%	98.38%
Mém. Roy. Sci. Soc. Lille	1	82.98%	98.38%
Mem. Sect. Caucas Soc. Imp. Russ. Geogr.	1	83.00%	98.39%
Mém. Sect. Sci. Acad. Sci. Montpellier	1	83.02%	98.39%
Mem. Sobre Pl. Barrill. España	1	83.03%	98.39%
Mém. Soc. Agric. Boulogne ser.	1	83.05%	98.39%
Mém. Soc. Bot. France	1	83.07%	98.39%
Mem. Soc. Crittog. Ital.	1	83.08%	98.39%
Mém. Soc. Hist. Nat. Monspel. ?.	1	83.10%	98.39%
Mém. Soc. Imp. Sci. Nat. Cherbourg	1	83.11%	98.40%
Mem. Soc. Ital. Sci. Nat.	1	83.13%	98.40%
Mem. Soc. Natl. Sci. Nat. Cherbourg	1	83.15%	98.40%
Men. Natl. Sci. Mus.	1	83.16%	98.40%
Metaspermae Minnesota Valley	1	83.18%	98.40%
Meth. Fungorum	1	83.20%	98.40%
Meth. Lich. xxx,	1	83.21%	98.41%
Metodike Paleopalinol. Issled.	1	83.23%	98.41%
Metrodiana Sonderh.	1	83.24%	98.41%
Mexicos Halvgraes	1	83.26%	98.41%
Mezozojsk. Fl. Kamys-Basi	1	83.28%	98.41%
Mezozojskie Otlozenija Severo-Vostoka SSSR	1	83.29%	98.41%
Michauxia.	1	83.31%	98.41%
Micromycet. Trident.	1	83.33%	98.42%
Micropalaeontol. Oceans	1	83.34%	98.42%
Microscop. Exam. Water t.	1	83.36%	98.42%
Microscop. Res. Techn.	1	83.37%	98.42%
Microscope (Ann Arbor)	1	83.39%	98.42%
Mikr. Betriebs. Gär.	1	83.41%	98.42%
Mikrofoss. Unterdevonischen Brandschieferprofils Münstereifel	1	83.42%	98.43%
Mikroskop. Betriebs. Gär.	1	83.44%	98.43%
Mikroskop. Feind. Waldes	1	83.45%	98.43%
Mimoses	1	83.47%	98.43%
Miner. e Metalurg.	1	83.49%	98.43%
Minnesota Bot. Stud.	1	83.50%	98.43%
Minnesskr. Fysiogr. Sällsk. Lund	1	83.52%	98.43%
Misc. Zool. [Barcelona]	1	83.54%	98.44%
Mitt. Bad. Landesvereins Naturk. Naturschutz Freiburg ser.	1	83.55%	98.44%
Mitt. Bad. Landesvereins Naturk. Naturschutz ser.	1	83.57%	98.44%
Mitt. Bot. Mus. Univ. Zürich	1	83.58%	98.44%
Mitt. Bot. Staatsinst. Hamburg	1	83.60%	98.44%
Mitt. Geol. Staatsinst. Hamburg	1	83.62%	98.44%
Mitt. Naturf. Ges. Luzern	1	83.63%	98.45%
Mitt. Naturwiss. Vereins Düsseldorf	1	83.65%	98.45%
Mitt. Naturwiss. Vereins Univ. Wien ser.	1	83.67%	98.45%
Mitt. Sem. Orient. Sprachen	1	83.68%	98.45%
Mitt. Staatsinst. Allg. Bot. Hamburg	1	83.70%	98.45%
Mitt. Zool. Stat. Neapel	1	83.71%	98.45%
Mitteil. Mikr. Ver. Linz	1	83.73%	98.45%
Mitth. Geb. Fl. Pomona	1	83.75%	98.46%
Molec. Phylogen. Evol.	1	83.76%	98.46%
Monatsh. Landw.	1	83.78%	98.46%
Monatsschr. Vereines Beförd. Gartenbaues Königl. Preuss. Staaten	1	83.80%	98.46%
Monde Pl. Interméd. ser.	1	83.81%	98.46%
Monde Pl. ser.	1	83.83%	98.46%
Mongr. Rice Dis.	1	83.84%	98.47%
Monochaetia Pestalotia	1	83.86%	98.47%
Monog. Viennue t.	1	83.88%	98.47%
Monogr. Algarum Cyanophyc., Pars Spec.	1	83.89%	98.47%
Monogr. Anonacées	1	83.91%	98.47%
Monogr. Antirrhinées	1	83.92%	98.47%
Monogr. Bignon. Atlas	1	83.94%	98.47%
Monogr. Ceratocystis and Ceratocystiopsis	1	83.96%	98.48%
Monogr. Cercosporella, Ramularia and Allied Genera	1	83.97%	98.48%
Monogr. Chalara	1	83.99%	98.48%
Monogr. Dombey. Foss.	1	84.01%	98.48%
Monogr. Gatt. Phyteuma	1	84.02%	98.48%
Monogr. Hym. Suec.	1	84.04%	98.48%
Monogr. Lich. It. Mer.	1	84.05%	98.49%
Monogr. Mycet. ed.	1	84.07%	98.49%
Monogr. Norddeutsch. Weald.	1	84.09%	98.49%
Monogr. Potentilla	1	84.10%	98.49%
Monogr. Potentilla iv,	1	84.12%	98.49%
Monogr. Saprolegniées	1	84.14%	98.49%
Monogr. Syst. Bot., Missouri Bot. Gard.	1	84.15%	98.49%
Monograph of Monochaetia and Pestalotia	1	84.17%	98.50%
Monthly Rev.	1	84.18%	98.50%
Monthly Rev. ser.	1	84.20%	98.50%
Mooslob.	1	84.22%	98.50%
Morfol. Sist. Iskop. Spor Pyl'cy (Trudy III Mezdunarodnoj Palinol. Konf.)	1	84.23%	98.50%
Morgonbladet (Helsingfors)	1	84.25%	98.50%
Morph. Stud. Orchid.	1	84.27%	98.51%
Morph. Tax. Distrib. Extant Coccolithophorids	1	84.28%	98.51%
Morphol. Biol. Algen ed.	1	84.30%	98.51%
Morsk. Mikropaleontol.	1	84.31%	98.51%
Mountain Fl. Greece	1	84.33%	98.51%
Mus. Bot. Leide	1	84.35%	98.51%
Mus. La Plata Rev.	1	84.36%	98.51%
Mus. New Zealand Rec.	1	84.38%	98.52%
Musc. Rothom.	1	84.39%	98.52%
Musci Asiae Boreal.	1	84.41%	98.52%
Musci Bor. Amer.	1	84.43%	98.52%
Musci Boreal. Amer.	1	84.44%	98.52%
Musci Eur. Novi fasc.	1	84.46%	98.52%
Musci Scand.	1	84.48%	98.53%
Musci Thur. f.	1	84.49%	98.53%
Mycétol.	1	84.51%	98.53%
Mycol Writ.	1	84.52%	98.53%
Mycol. Univ.	1	84.54%	98.53%
N. Amer. Bot. ed.	1	84.56%	98.53%
N. Amer. Geol. Palaeontol. (App.	1	84.57%	98.53%
N. Amer. Pyrenomycetes	1	84.59%	98.54%
N. Amer. Trees	1	84.61%	98.54%
N. Polypores	1	84.62%	98.54%
N. Queensland Naturalist	1	84.64%	98.54%
N.Y. Geol. Surv. Ann. Rep.	1	84.65%	98.54%
Nachr. Ges. Wiss. Göttingen, Math.-Phys. Kl., Fachgr.	1	84.67%	98.54%
Nachtr. Pétrefact.	1	84.69%	98.55%
Nak. Ceskoslov. Akad. Zemed.	1	84.70%	98.55%
Napoléone Impériale [1].	1	84.72%	98.55%
Narr. Euphrates Exped. ad t.	1	84.74%	98.55%
Narr. Exped. Zaire [App.	1	84.75%	98.55%
Narr. J. China	1	84.77%	98.55%
Narrat. Exped. Japan	1	84.78%	98.55%
Narrative Surv. Coasts Australia	1	84.80%	98.56%
Nat. Hist. Juan Fernandez Easter Island (Suppl. Pterid. Phan.)	1	84.82%	98.56%
Nat. Hist. Trans. Northumberland	1	84.83%	98.56%
Nat. Life S. E. Asia	1	84.85%	98.56%
Nat. Malgache	1	84.86%	98.56%
Nat. Pflanzenfam. (Register zu Teil II-IV):	1	84.88%	98.56%
Nat. Pflanzenfam. Index	1	84.90%	98.57%
Natal Plants	1	84.91%	98.57%
Natur Naturschutz Mecklenburg	1	84.93%	98.57%
Naturalist, Hull	1	84.95%	98.57%
Naturf. Freurde Berlin Neue Schriften	1	84.96%	98.57%
Naturgesch. Chili	1	84.98%	98.57%
Naturgesch. Flecht.	1	84.99%	98.57%
Naturgesch. Flechten	1	85.01%	98.58%
Naturgetreue Abb. Beschr. Schwämme	1	85.03%	98.58%
Naturh. Reise Schwedens	1	85.04%	98.58%
Naturl. Hist.	1	85.06%	98.58%
Naturwiss. Abh.	1	85.08%	98.58%
Naturwiss. Anz. Allg. Schweiz. Ges. Gesammten Naturwiss.	1	85.09%	98.58%
Naturwiss. Sonderschrift Wiss. Schriftenreihe Tauber Verlag	1	85.11%	98.59%
Naturwiss. Wochenschr.	1	85.12%	98.59%
Naturwiss. Z. Lotos	1	85.14%	98.59%
Nebraska Geol. Surv.	1	85.16%	98.59%
Nebraska Univ. Stud. Sci. Techn.	1	85.17%	98.59%
Nederl. Myxomyceten	1	85.19%	98.59%
Nereis Brit. xv, xxiv.	1	85.20%	98.59%
Nereis Brit. xxxii.	1	85.22%	98.60%
Neue Untersuch. Mikrostruktur Steinkhole	1	85.24%	98.60%
Neues Jahrb.	1	85.25%	98.60%
